Best trial value: 0.18419841340299378
Best hyperparameters: {'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}

All trial results:
Trial 0: Value=0.4989656578997013, Params={'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 1: Value=0.2610795365755934, Params={'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 2: Value=0.5462960097135073, Params={'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 3: Value=0.5343571707177838, Params={'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 4: Value=0.3605583475469467, Params={'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
Trial 5: Value=0.24824113153492333, Params={'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 6: Value=0.5711256830103421, Params={'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2'}
Trial 7: Value=0.5019844971469887, Params={'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': 'log2'}
Trial 8: Value=0.27866687909801313, Params={'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.8}
Trial 9: Value=0.24359189493223768, Params={'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.5}
Trial 10: Value=0.24098090588973806, Params={'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 0.5}
Trial 11: Value=0.24098090588973806, Params={'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 0.5}
Trial 12: Value=0.2077287550364277, Params={'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 0.5}
Trial 13: Value=0.2077287550364277, Params={'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 0.5}
Trial 14: Value=0.21717627645084095, Params={'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 15: Value=0.2035099461349076, Params={'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 16: Value=0.21039129230071316, Params={'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 0.5}
Trial 17: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 18: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 19: Value=0.20137805410262302, Params={'max_depth': 7, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 20: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 21: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 22: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 23: Value=0.2011319746285737, Params={'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 24: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 25: Value=0.2572418113727027, Params={'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 26: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 27: Value=0.2081972378457172, Params={'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 28: Value=0.20260491519393878, Params={'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 29: Value=0.5181689422710737, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_features': 'log2'}
Trial 30: Value=0.20844107913123686, Params={'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 31: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 32: Value=0.21056701532228703, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 33: Value=0.21625766274403582, Params={'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 34: Value=0.20844107913123686, Params={'max_depth': 8, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 35: Value=0.5599022283140928, Params={'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 36: Value=0.20894230198871164, Params={'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 0.8}
Trial 37: Value=0.486488598246567, Params={'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 38: Value=0.21239861890571785, Params={'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 39: Value=0.5834628717675403, Params={'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
Trial 40: Value=0.21006844461508264, Params={'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 41: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 42: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 43: Value=0.20646287011380726, Params={'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 44: Value=0.2153175183475323, Params={'max_depth': 7, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 45: Value=0.2011319746285737, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 46: Value=0.5041554174462785, Params={'max_depth': 7, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt'}
Trial 47: Value=0.5664885039847031, Params={'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 'log2'}
Trial 48: Value=0.21537474671470128, Params={'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 49: Value=0.2224731416962621, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_features': 0.8}
Trial 50: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 51: Value=0.1993718705276931, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 52: Value=0.20137805410262302, Params={'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_features': 1.0}
Trial 53: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 54: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 55: Value=0.2081972378457172, Params={'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 56: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 57: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 58: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 59: Value=0.20971968572626928, Params={'max_depth': 4, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 0.5}
Trial 60: Value=0.5651701822564141, Params={'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'sqrt'}
Trial 61: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 62: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 63: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 64: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 65: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 66: Value=0.20406290285003037, Params={'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 67: Value=0.5590056814228701, Params={'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'log2'}
Trial 68: Value=0.20638517082561228, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 1.0}
Trial 69: Value=0.20406290285003037, Params={'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 70: Value=0.20907696606988302, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 0.8}
Trial 71: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 72: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 73: Value=0.2109915739303021, Params={'max_depth': 4, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 1.0}
Trial 74: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 75: Value=0.26915934413975656, Params={'max_depth': 3, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 0.5}
Trial 76: Value=0.20406290285003037, Params={'max_depth': 4, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 77: Value=0.19232350425955833, Params={'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 1.0}
Trial 78: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 79: Value=0.23202165429694677, Params={'max_depth': 12, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 1.0}
Trial 80: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 81: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 82: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 83: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 84: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 85: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 86: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 87: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 88: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 89: Value=0.19706142355309106, Params={'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 90: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 91: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 92: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 93: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 94: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 95: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 96: Value=0.20203173125678522, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 97: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 98: Value=0.19706142355309106, Params={'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 99: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 100: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 101: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 102: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 103: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 104: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 105: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 106: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 107: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 108: Value=0.45625264781444597, Params={'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 109: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 110: Value=0.5354165651596449, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 111: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 112: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 113: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 114: Value=0.21717627645084095, Params={'max_depth': 14, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 115: Value=0.20553196455478565, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 116: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 117: Value=0.20005673636950327, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 0.8}
Trial 118: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 119: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 120: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 121: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 122: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 123: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 124: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 125: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 126: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 127: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 128: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 129: Value=0.21717627645084095, Params={'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 130: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 131: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
