Best trial value: 0.1244856200368869
Best hyperparameters: {'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}

All trial results:
Trial 0: Value=0.12911003560354253, Params={'alpha': 0.05905326958008103, 'l1_ratio': 0.8859554440922547}
Trial 1: Value=0.9509492670072891, Params={'alpha': 8.265935940760714, 'l1_ratio': 0.09778566484084128}
Trial 2: Value=1.0041624961256486, Params={'alpha': 759.7763818536329, 'l1_ratio': 0.3457634137554315}
Trial 3: Value=1.0041624961256486, Params={'alpha': 64.55636806446962, 'l1_ratio': 0.45099736267110047}
Trial 4: Value=0.17214702243787186, Params={'alpha': 0.31586376833977015, 'l1_ratio': 0.3289931771085811}
Trial 5: Value=0.13498393023374458, Params={'alpha': 0.011999179855574638, 'l1_ratio': 0.35903397461903175}
Trial 6: Value=0.7021229507448861, Params={'alpha': 1.0760472581767055, 'l1_ratio': 0.6388704386248498}
Trial 7: Value=0.12766807723314202, Params={'alpha': 0.010451800043405738, 'l1_ratio': 0.778642089959432}
Trial 8: Value=0.243848739608188, Params={'alpha': 0.5420696837901828, 'l1_ratio': 0.3884713500874254}
Trial 9: Value=1.0041624961256486, Params={'alpha': 19.558017423919015, 'l1_ratio': 0.25485264921777584}
Trial 10: Value=0.15628873078185287, Params={'alpha': 0.0015604358497071254, 'l1_ratio': 0.9291139684700884}
Trial 11: Value=0.12471541502884005, Params={'alpha': 0.02560660837608925, 'l1_ratio': 0.8688244479580982}
Trial 12: Value=0.1657912361120801, Params={'alpha': 0.0013109780219809997, 'l1_ratio': 0.7174998724668693}
Trial 13: Value=0.12543009494339638, Params={'alpha': 0.017373675670649343, 'l1_ratio': 0.7474367882002837}
Trial 14: Value=0.1268476409709823, Params={'alpha': 0.050414123666791995, 'l1_ratio': 0.6049159569198788}
Trial 15: Value=0.12521538218932615, Params={'alpha': 0.013845261590630578, 'l1_ratio': 0.9713673605088878}
Trial 16: Value=0.14483713095138762, Params={'alpha': 0.12228592667895255, 'l1_ratio': 0.9987185906459544}
Trial 17: Value=0.13713655418956325, Params={'alpha': 0.004616349997663806, 'l1_ratio': 0.8425752848377037}
Trial 18: Value=1.0041624961256486, Params={'alpha': 2.1865057742451754, 'l1_ratio': 0.9998381965762511}
Trial 19: Value=0.14235703003800879, Params={'alpha': 0.1493395599380043, 'l1_ratio': 0.5424348577804962}
Trial 20: Value=0.12485021557189317, Params={'alpha': 0.027611751012222387, 'l1_ratio': 0.8533773379309726}
Trial 21: Value=0.1387738059928936, Params={'alpha': 0.004228009371858865, 'l1_ratio': 0.8290248176801601}
Trial 22: Value=0.12529799065810368, Params={'alpha': 0.030627926366669243, 'l1_ratio': 0.91358785744501}
Trial 23: Value=0.14644718458417505, Params={'alpha': 0.0034471494877160542, 'l1_ratio': 0.6598645680221951}
Trial 24: Value=0.1519252234184576, Params={'alpha': 0.16071393963534553, 'l1_ratio': 0.8194051597963373}
Trial 25: Value=0.12758254046222817, Params={'alpha': 0.046994713244379184, 'l1_ratio': 0.9303715794425504}
Trial 26: Value=0.12817625572775382, Params={'alpha': 0.01065376042072972, 'l1_ratio': 0.7192343954638992}
Trial 27: Value=0.9947294607830575, Params={'alpha': 2.0956909127033225, 'l1_ratio': 0.5365676876126755}
Trial 28: Value=0.12455121865906493, Params={'alpha': 0.022030407130256915, 'l1_ratio': 0.9888767757382582}
Trial 29: Value=0.13800097687130983, Params={'alpha': 0.10440690562441905, 'l1_ratio': 0.8772950970631631}
Trial 30: Value=0.2592835190241772, Params={'alpha': 0.37055211149288514, 'l1_ratio': 0.8790047432363434}
Trial 31: Value=0.12467612607634702, Params={'alpha': 0.02411159423246733, 'l1_ratio': 0.9614299096772712}
Trial 32: Value=0.1447237621948552, Params={'alpha': 0.029064005246556054, 'l1_ratio': 0.06879722664113863}
Trial 33: Value=0.13615481520173034, Params={'alpha': 0.005225483783788156, 'l1_ratio': 0.7901136167210728}
Trial 34: Value=0.1315440462584997, Params={'alpha': 0.07226654793363249, 'l1_ratio': 0.9189405505360535}
Trial 35: Value=1.0041624961256486, Params={'alpha': 135.09082558286815, 'l1_ratio': 0.1508515572439696}
Trial 36: Value=0.12472688434923467, Params={'alpha': 0.02571394543195096, 'l1_ratio': 0.8755609163916901}
Trial 37: Value=0.18418423604899928, Params={'alpha': 0.22967052578971525, 'l1_ratio': 0.9322700938639286}
Trial 38: Value=0.15951680664549528, Params={'alpha': 0.0018189611774375345, 'l1_ratio': 0.6781884353429244}
Trial 39: Value=0.9690237911916636, Params={'alpha': 1.2666289923700713, 'l1_ratio': 0.7934185919558427}
Trial 40: Value=0.47091297875077504, Params={'alpha': 0.5682419161833069, 'l1_ratio': 0.9749627826582249}
Trial 41: Value=0.12602760970393997, Params={'alpha': 0.03759802875222828, 'l1_ratio': 0.8449875821651311}
Trial 42: Value=0.12467778686417785, Params={'alpha': 0.020848101336476826, 'l1_ratio': 0.850210405846785}
Trial 43: Value=0.12503724210276124, Params={'alpha': 0.02011453195846062, 'l1_ratio': 0.7626682581498054}
Trial 44: Value=0.12842387460566781, Params={'alpha': 0.007870007103051692, 'l1_ratio': 0.9533807324702208}
Trial 45: Value=0.13122408208822667, Params={'alpha': 0.07211407741796871, 'l1_ratio': 0.8853571732800177}
Trial 46: Value=1.0041624961256486, Params={'alpha': 6.555031732349096, 'l1_ratio': 0.8928581026770823}
Trial 47: Value=0.1343985443545049, Params={'alpha': 0.007660529344401326, 'l1_ratio': 0.5998806533953748}
Trial 48: Value=0.15953867652399953, Params={'alpha': 0.002712630752893918, 'l1_ratio': 0.43487270332064787}
Trial 49: Value=0.12576765499451018, Params={'alpha': 0.016113650481201763, 'l1_ratio': 0.7160938315250804}
Trial 50: Value=0.1843023362046792, Params={'alpha': 0.0010382456355210914, 'l1_ratio': 0.28197894717625094}
Trial 51: Value=0.12466876957730118, Params={'alpha': 0.024849010651420787, 'l1_ratio': 0.855261507269361}
Trial 52: Value=0.13095918023633688, Params={'alpha': 0.06706835088718731, 'l1_ratio': 0.9684359293476459}
Trial 53: Value=0.12504691572741186, Params={'alpha': 0.018739566057377043, 'l1_ratio': 0.799542806166721}
Trial 54: Value=0.13243958859578034, Params={'alpha': 0.006142850868514883, 'l1_ratio': 0.8713849332138226}
Trial 55: Value=0.12593307467098427, Params={'alpha': 0.010894758044629211, 'l1_ratio': 0.9918554495920214}
Trial 56: Value=0.15139171273764893, Params={'alpha': 0.0023863709664030093, 'l1_ratio': 0.7524296300534377}
Trial 57: Value=0.1271628136925497, Params={'alpha': 0.043443934841221596, 'l1_ratio': 0.943266855203323}
Trial 58: Value=0.18317956341267638, Params={'alpha': 0.23206173096143523, 'l1_ratio': 0.9005360014498835}
Trial 59: Value=0.12479273986750727, Params={'alpha': 0.020412568131063763, 'l1_ratio': 0.8181401577907961}
Trial 60: Value=0.13990662942113496, Params={'alpha': 0.11451294234592162, 'l1_ratio': 0.8451379667861175}
Trial 61: Value=0.12469815646363307, Params={'alpha': 0.023199327069455548, 'l1_ratio': 0.8132355086358438}
Trial 62: Value=0.125864481475164, Params={'alpha': 0.011565572109536845, 'l1_ratio': 0.9511574039668916}
Trial 63: Value=0.12511471048411815, Params={'alpha': 0.029397782058948024, 'l1_ratio': 0.9054467766296016}
Trial 64: Value=0.12881827436314328, Params={'alpha': 0.062436852085184104, 'l1_ratio': 0.7198545034230099}
Trial 65: Value=0.12464231917002477, Params={'alpha': 0.024047006429581227, 'l1_ratio': 0.8500356899066369}
Trial 66: Value=0.12864307102179376, Params={'alpha': 0.008740899230426712, 'l1_ratio': 0.835360966162904}
Trial 67: Value=0.1343142445767647, Params={'alpha': 0.09425359754557601, 'l1_ratio': 0.7716551476532264}
Trial 68: Value=1.0041624961256486, Params={'alpha': 469.1386066427282, 'l1_ratio': 0.996528125124311}
Trial 69: Value=0.12656205660155975, Params={'alpha': 0.039374804927669135, 'l1_ratio': 0.9234456390384461}
Trial 70: Value=0.13981928927697565, Params={'alpha': 0.004030218659300804, 'l1_ratio': 0.8139343364336624}
