Best trial value: 0.1119150228767402
Best hyperparameters: {'n_estimators': 841, 'max_depth': 9, 'learning_rate': 0.008688414198817005, 'subsample': 0.6242718911640639, 'colsample_bytree': 0.8242586562889879, 'min_child_weight': 1}

All trial results:
Trial 0: Value=0.9844089270935132, Params={'n_estimators': 657, 'max_depth': 6, 'learning_rate': 1.655920386219628e-05, 'subsample': 0.7310636042808303, 'colsample_bytree': 0.6038428788527885, 'min_child_weight': 5}
Trial 1: Value=0.993604102155114, Params={'n_estimators': 390, 'max_depth': 14, 'learning_rate': 1.2103729737003066e-05, 'subsample': 0.8118718174783914, 'colsample_bytree': 0.6268688291313755, 'min_child_weight': 1}
Trial 2: Value=0.12069332532397119, Params={'n_estimators': 675, 'max_depth': 13, 'learning_rate': 0.005443058237366865, 'subsample': 0.6945828259805902, 'colsample_bytree': 0.6713265888468227, 'min_child_weight': 7}
Trial 3: Value=0.578598759557436, Params={'n_estimators': 707, 'max_depth': 3, 'learning_rate': 0.0005165690880323903, 'subsample': 0.8654693382956564, 'colsample_bytree': 0.9881544435358197, 'min_child_weight': 10}
Trial 4: Value=0.9033417970856529, Params={'n_estimators': 791, 'max_depth': 7, 'learning_rate': 8.703276589619583e-05, 'subsample': 0.6301605640003798, 'colsample_bytree': 0.6843039710138175, 'min_child_weight': 1}
Trial 5: Value=0.9585147446476189, Params={'n_estimators': 184, 'max_depth': 14, 'learning_rate': 0.00015813973500730593, 'subsample': 0.7636434426587527, 'colsample_bytree': 0.5501277958868993, 'min_child_weight': 9}
Trial 6: Value=0.9990612239529044, Params={'n_estimators': 88, 'max_depth': 14, 'learning_rate': 1.175558133831658e-05, 'subsample': 0.8225194624364879, 'colsample_bytree': 0.9399528035768554, 'min_child_weight': 9}
Trial 7: Value=0.21989037140961498, Params={'n_estimators': 427, 'max_depth': 7, 'learning_rate': 0.0028666010288252797, 'subsample': 0.9875425406663517, 'colsample_bytree': 0.786666397188424, 'min_child_weight': 7}
Trial 8: Value=0.9759120016245802, Params={'n_estimators': 661, 'max_depth': 9, 'learning_rate': 2.3814351601099885e-05, 'subsample': 0.7743129895129848, 'colsample_bytree': 0.9591291639779415, 'min_child_weight': 7}
Trial 9: Value=0.9870859911824345, Params={'n_estimators': 333, 'max_depth': 14, 'learning_rate': 2.652530209952895e-05, 'subsample': 0.7376713749582722, 'colsample_bytree': 0.8261329926212599, 'min_child_weight': 4}
Trial 10: Value=0.11608546601468135, Params={'n_estimators': 975, 'max_depth': 11, 'learning_rate': 0.009044857864580862, 'subsample': 0.5437253390138133, 'colsample_bytree': 0.7112304377254924, 'min_child_weight': 3}
Trial 11: Value=0.11564055927600758, Params={'n_estimators': 978, 'max_depth': 11, 'learning_rate': 0.00844633340313578, 'subsample': 0.5101244661425421, 'colsample_bytree': 0.7039015014515978, 'min_child_weight': 3}
Trial 12: Value=0.19943868056853123, Params={'n_estimators': 968, 'max_depth': 11, 'learning_rate': 0.0015183590618859013, 'subsample': 0.5105573236953509, 'colsample_bytree': 0.7226897448832791, 'min_child_weight': 4}
Trial 13: Value=0.11443598119470276, Params={'n_estimators': 993, 'max_depth': 10, 'learning_rate': 0.008059724802756638, 'subsample': 0.5096284786634235, 'colsample_bytree': 0.8428591893185333, 'min_child_weight': 3}
Trial 14: Value=0.46878296688966364, Params={'n_estimators': 836, 'max_depth': 10, 'learning_rate': 0.0006370926729065479, 'subsample': 0.602307980994255, 'colsample_bytree': 0.8709037795343313, 'min_child_weight': 2}
