Best trial value: 0.004615970840620621
Best hyperparameters: {'hidden_dim': 60, 'num_layers': 2, 'learning_rate': 0.0002759469773922751, 'weight_decay': 0.00046458743267201614, 'dropout_rate': 0.1304723152999592, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}

All trial results:
Trial 0: Value=0.008825693751038107, Params={'hidden_dim': 24, 'num_layers': 7, 'learning_rate': 0.0004669048821018693, 'weight_decay': 1.1553883993917037e-07, 'dropout_rate': 0.4594460220075136, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 1: Value=0.011991518678404874, Params={'hidden_dim': 21, 'num_layers': 14, 'learning_rate': 3.5034962784625425e-05, 'weight_decay': 0.0014000946871622069, 'dropout_rate': 0.30130835748854135, 'optimizer': 'NAdam', 'activation_function': 'tanh'}
Trial 2: Value=0.02155190579545983, Params={'hidden_dim': 32, 'num_layers': 6, 'learning_rate': 2.7045251789142886e-05, 'weight_decay': 0.00022855018066685889, 'dropout_rate': 0.3850958937844555, 'optimizer': 'RAdam', 'activation_function': 'sigmoid'}
Trial 3: Value=0.0206589097566711, Params={'hidden_dim': 11, 'num_layers': 16, 'learning_rate': 2.2647871421453048e-05, 'weight_decay': 2.56589756350138e-06, 'dropout_rate': 0.40020383331428844, 'optimizer': 'RMSprop', 'activation_function': 'tanh'}
Trial 4: Value=0.07098172863674533, Params={'hidden_dim': 6, 'num_layers': 3, 'learning_rate': 1.9245428020296285e-05, 'weight_decay': 2.9763000395251895e-05, 'dropout_rate': 0.49060596103583787, 'optimizer': 'Adam', 'activation_function': 'leaky_relu'}
Trial 5: Value=0.031975082022889456, Params={'hidden_dim': 104, 'num_layers': 5, 'learning_rate': 1.0234461105489853e-05, 'weight_decay': 5.311855343156992e-07, 'dropout_rate': 0.362481818344752, 'optimizer': 'SGD', 'activation_function': 'tanh'}
Trial 6: Value=0.018802949968544796, Params={'hidden_dim': 7, 'num_layers': 10, 'learning_rate': 0.001768524432993332, 'weight_decay': 2.1598159395046757e-06, 'dropout_rate': 0.18295346434821524, 'optimizer': 'SGD', 'activation_function': 'leaky_relu'}
Trial 7: Value=0.022358331813727594, Params={'hidden_dim': 99, 'num_layers': 17, 'learning_rate': 1.1827653785158266e-05, 'weight_decay': 2.263700011789946e-06, 'dropout_rate': 0.49400396449902584, 'optimizer': 'SGD', 'activation_function': 'relu'}
Trial 8: Value=0.031333975993774583, Params={'hidden_dim': 6, 'num_layers': 8, 'learning_rate': 0.00022906639496260049, 'weight_decay': 1.4873230468649278e-07, 'dropout_rate': 0.10378227688038133, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 9: Value=0.007761039603905416, Params={'hidden_dim': 23, 'num_layers': 4, 'learning_rate': 0.002116437213093772, 'weight_decay': 2.6000986231517647e-06, 'dropout_rate': 0.1380427126853336, 'optimizer': 'AdamW', 'activation_function': 'leaky_relu'}
Trial 10: Value=0.02297638522610901, Params={'hidden_dim': 50, 'num_layers': 20, 'learning_rate': 0.009038452426627737, 'weight_decay': 1.2066368178772005e-08, 'dropout_rate': 0.2066410455753553, 'optimizer': 'AdamW', 'activation_function': 'sigmoid'}
Trial 11: Value=0.016943032049149927, Params={'hidden_dim': 17, 'num_layers': 3, 'learning_rate': 0.000543752503786351, 'weight_decay': 7.090275463229655e-08, 'dropout_rate': 0.2488122573600559, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 12: Value=0.010191025180581301, Params={'hidden_dim': 45, 'num_layers': 10, 'learning_rate': 0.0017875805925399017, 'weight_decay': 3.194175793215925e-05, 'dropout_rate': 0.10920116958867862, 'optimizer': 'AdamW', 'activation_function': 'leaky_relu'}
Trial 13: Value=0.01765018473998325, Params={'hidden_dim': 15, 'num_layers': 7, 'learning_rate': 0.0002202684493324035, 'weight_decay': 1.884905095498903e-08, 'dropout_rate': 0.3250946495214602, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 14: Value=0.007626730508287348, Params={'hidden_dim': 29, 'num_layers': 2, 'learning_rate': 0.0009451497564026361, 'weight_decay': 0.009499608471777067, 'dropout_rate': 0.43679731205617933, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 15: Value=0.010762222477203022, Params={'hidden_dim': 58, 'num_layers': 2, 'learning_rate': 0.0035296120221825875, 'weight_decay': 0.006894218287737041, 'dropout_rate': 0.26089000698847103, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 16: Value=0.007378230701975401, Params={'hidden_dim': 162, 'num_layers': 4, 'learning_rate': 0.0012290498103387998, 'weight_decay': 0.0002453451498243142, 'dropout_rate': 0.15872718447815287, 'optimizer': 'AdamW', 'activation_function': 'relu'}
