Best trial value: 0.06676275380849879
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017489205183753874, 'num_neurons': 87, 'num_hidden_layers': 2, 'l1_reg': 0.00040322538610911165, 'l2_reg': 2.899284099154708e-05}

All trial results:
Trial 0: Value=1.0020714801732693, Params={'optimizer': 'AdamW', 'activation_function': 'gelu', 'learning_rate': 1.9641090749528278e-05, 'num_neurons': 9, 'num_hidden_layers': 13, 'l1_reg': 0.0010259053321426805, 'l2_reg': 0.0004059402554561288}
Trial 1: Value=0.14660328911599294, Params={'optimizer': 'AdamW', 'activation_function': 'sigmoid', 'learning_rate': 0.001960934241108212, 'num_neurons': 75, 'num_hidden_layers': 2, 'l1_reg': 0.0015950375425719905, 'l2_reg': 1.0906107224051095e-05}
Trial 2: Value=0.14398855137248537, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 0.0005037300017450465, 'num_neurons': 38, 'num_hidden_layers': 13, 'l1_reg': 5.119767451361894e-07, 'l2_reg': 1.0334933123804756e-08}
Trial 3: Value=1.001726763627749, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 0.000206289521700565, 'num_neurons': 51, 'num_hidden_layers': 15, 'l1_reg': 0.05739725229738569, 'l2_reg': 8.175966591769534}
Trial 4: Value=0.4977539718759718, Params={'optimizer': 'Adagrad', 'activation_function': 'leaky_relu', 'learning_rate': 5.9598660018267465e-05, 'num_neurons': 72, 'num_hidden_layers': 10, 'l1_reg': 0.0007655008343637111, 'l2_reg': 0.0002018953798450251}
Trial 5: Value=1.013360538394551, Params={'optimizer': 'Adadelta', 'activation_function': 'silu', 'learning_rate': 0.0013766586929354239, 'num_neurons': 6, 'num_hidden_layers': 2, 'l1_reg': 3.684834219960728, 'l2_reg': 3.5576228537261713e-06}
Trial 6: Value=1.000009785788414, Params={'optimizer': 'Adagrad', 'activation_function': 'gelu', 'learning_rate': 1.5465052482105974e-05, 'num_neurons': 9, 'num_hidden_layers': 15, 'l1_reg': 0.06931777006577279, 'l2_reg': 1.9035061636702243e-08}
Trial 7: Value=1.000012048285404, Params={'optimizer': 'Ftrl', 'activation_function': 'silu', 'learning_rate': 5.441483675617537e-05, 'num_neurons': 14, 'num_hidden_layers': 2, 'l1_reg': 0.0022911230255055997, 'l2_reg': 9.170596464655895e-08}
Trial 8: Value=1.000669471028389, Params={'optimizer': 'Adamax', 'activation_function': 'silu', 'learning_rate': 0.00031808935779077685, 'num_neurons': 28, 'num_hidden_layers': 16, 'l1_reg': 0.046692864119152404, 'l2_reg': 0.0003877373535591524}
Trial 9: Value=0.4112570974692121, Params={'optimizer': 'Adadelta', 'activation_function': 'mish', 'learning_rate': 0.0009774940947151227, 'num_neurons': 163, 'num_hidden_layers': 11, 'l1_reg': 6.550054110278348e-07, 'l2_reg': 0.0002134102478882306}
Trial 10: Value=1.0010944051061397, Params={'optimizer': 'SGD', 'activation_function': 'tanh', 'learning_rate': 0.008732418810223089, 'num_neurons': 25, 'num_hidden_layers': 20, 'l1_reg': 1.0123373495047465e-08, 'l2_reg': 0.3486278439932843}
