Best trial value: 0.12663267817762613
Best hyperparameters: {'n_estimators': 417, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}

All trial results:
Trial 0: Value=0.18627903705360715, Params={'n_estimators': 373, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 1: Value=0.13213685986464982, Params={'n_estimators': 728, 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 2: Value=0.13133425583524475, Params={'n_estimators': 55, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 1.0}
Trial 3: Value=0.32069087717315464, Params={'n_estimators': 439, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 4: Value=0.14227259420185154, Params={'n_estimators': 63, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5}
Trial 5: Value=0.22700295670533965, Params={'n_estimators': 654, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt'}
Trial 6: Value=0.14996495519222122, Params={'n_estimators': 252, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 7: Value=0.1302158018557689, Params={'n_estimators': 656, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.8}
Trial 8: Value=0.14656855344958966, Params={'n_estimators': 940, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 9: Value=0.15859931554964754, Params={'n_estimators': 408, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 10: Value=0.13385207340070643, Params={'n_estimators': 966, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.8}
Trial 11: Value=0.1298803391984933, Params={'n_estimators': 645, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.8}
Trial 12: Value=0.12725502099797695, Params={'n_estimators': 672, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 13: Value=0.12838740181218353, Params={'n_estimators': 809, 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 14: Value=0.12842034814337408, Params={'n_estimators': 824, 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 15: Value=0.23629320070593562, Params={'n_estimators': 803, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 16: Value=0.3782464088754309, Params={'n_estimators': 549, 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 'sqrt'}
Trial 17: Value=0.13168083675503792, Params={'n_estimators': 884, 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 18: Value=0.13903218638582662, Params={'n_estimators': 541, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.8}
Trial 19: Value=0.1335138767302501, Params={'n_estimators': 785, 'max_depth': 14, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 20: Value=0.13463985947350002, Params={'n_estimators': 284, 'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.5}
Trial 21: Value=0.12845331811460295, Params={'n_estimators': 862, 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 22: Value=0.1281039050646616, Params={'n_estimators': 746, 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 23: Value=0.1282989937464004, Params={'n_estimators': 740, 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 24: Value=0.12794547362602549, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 25: Value=0.24943590552875397, Params={'n_estimators': 597, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2'}
Trial 26: Value=0.22096824745145324, Params={'n_estimators': 723, 'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
Trial 27: Value=0.12692266713287115, Params={'n_estimators': 471, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 28: Value=0.13902379289176622, Params={'n_estimators': 508, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.8}
Trial 29: Value=0.17071299413234017, Params={'n_estimators': 335, 'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 0.8}
Trial 30: Value=0.24289263551010462, Params={'n_estimators': 475, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
Trial 31: Value=0.12814694414936126, Params={'n_estimators': 579, 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 32: Value=0.12727771141332467, Params={'n_estimators': 721, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 33: Value=0.12795314447995995, Params={'n_estimators': 616, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 34: Value=0.13104812439015148, Params={'n_estimators': 687, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 1.0}
Trial 35: Value=0.12812536028654287, Params={'n_estimators': 456, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 36: Value=0.12818896539147262, Params={'n_estimators': 692, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 37: Value=0.20335913617784393, Params={'n_estimators': 159, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt'}
Trial 38: Value=0.13490917389242296, Params={'n_estimators': 352, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.8}
Trial 39: Value=0.12957793734340536, Params={'n_estimators': 889, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 40: Value=0.12806334928604046, Params={'n_estimators': 520, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 41: Value=0.12795314447995995, Params={'n_estimators': 616, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 42: Value=0.1299486384084888, Params={'n_estimators': 631, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.8}
Trial 43: Value=0.12877577748638727, Params={'n_estimators': 699, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 44: Value=0.12687403876588585, Params={'n_estimators': 757, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 45: Value=0.12739741222106601, Params={'n_estimators': 762, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 46: Value=0.12727027653527176, Params={'n_estimators': 993, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 47: Value=0.15583503412960745, Params={'n_estimators': 999, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 48: Value=0.17409089114333087, Params={'n_estimators': 947, 'max_depth': 4, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 49: Value=0.1276506710251187, Params={'n_estimators': 851, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 50: Value=0.4137241530593037, Params={'n_estimators': 422, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2'}
Trial 51: Value=0.12741686797181817, Params={'n_estimators': 758, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 52: Value=0.1280466167736696, Params={'n_estimators': 794, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 53: Value=0.1277180657439723, Params={'n_estimators': 917, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 54: Value=0.12729349119333774, Params={'n_estimators': 666, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 55: Value=0.12895789312279127, Params={'n_estimators': 560, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 56: Value=0.18845574427889097, Params={'n_estimators': 682, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 57: Value=0.1281971494569846, Params={'n_estimators': 660, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 58: Value=0.13131424868449212, Params={'n_estimators': 393, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.5}
Trial 59: Value=0.15712855914474308, Params={'n_estimators': 833, 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 60: Value=0.1313334643541976, Params={'n_estimators': 577, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 61: Value=0.12740684350841155, Params={'n_estimators': 771, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 62: Value=0.12729515865259863, Params={'n_estimators': 482, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 63: Value=0.12757638659759987, Params={'n_estimators': 510, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 64: Value=0.12886923974621758, Params={'n_estimators': 657, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5}
Trial 65: Value=0.23260758947566526, Params={'n_estimators': 480, 'max_depth': 14, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2'}
