Best trial value: 0.06463124061801206
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.423477080271497e-05, 'num_neurons': 146, 'l1_reg': 0.0005181947193645403, 'l2_reg': 9.731243450898303e-06}

All trial results:
Trial 0: Value=0.27558485586377646, Params={'optimizer': 'SGD', 'activation_function': 'silu', 'learning_rate': 0.0005857058549580344, 'num_neurons': 14, 'l1_reg': 5.406238592074009e-05, 'l2_reg': 0.22678087292035196}
Trial 1: Value=0.9916676293686203, Params={'optimizer': 'Ftrl', 'activation_function': 'silu', 'learning_rate': 0.0014092558003216166, 'num_neurons': 98, 'l1_reg': 0.0037979785261342716, 'l2_reg': 92.6604020825435}
Trial 2: Value=0.15591419750255045, Params={'optimizer': 'AdamW', 'activation_function': 'gelu', 'learning_rate': 0.002311946228197455, 'num_neurons': 10, 'l1_reg': 9.19728372396899e-05, 'l2_reg': 0.00017859122268872675}
Trial 3: Value=0.37741853289767757, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 0.001036003627820012, 'num_neurons': 18, 'l1_reg': 0.1850174695339866, 'l2_reg': 0.04532109179562472}
Trial 4: Value=0.23009275124518247, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 5.4968625923788704e-05, 'num_neurons': 15, 'l1_reg': 1.8906389299532762e-07, 'l2_reg': 9.869836651406856e-07}
Trial 5: Value=0.6366844198574332, Params={'optimizer': 'Adam', 'activation_function': 'tanh', 'learning_rate': 0.0006907945907684006, 'num_neurons': 9, 'l1_reg': 0.49935535644171203, 'l2_reg': 0.00022435353201932174}
Trial 6: Value=0.1882879218154073, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.00022773499390631678, 'num_neurons': 23, 'l1_reg': 1.4262055249839142e-06, 'l2_reg': 2.113353461504116e-05}
Trial 7: Value=0.14440401141803114, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 3.436799716871718e-05, 'num_neurons': 48, 'l1_reg': 1.4668498055278283e-08, 'l2_reg': 3.1136856654550584e-07}
Trial 8: Value=0.2239450115038775, Params={'optimizer': 'RMSprop', 'activation_function': 'silu', 'learning_rate': 0.0021800332681604514, 'num_neurons': 175, 'l1_reg': 2.7061905566222524e-08, 'l2_reg': 0.6257276674161599}
Trial 9: Value=0.9990833584371656, Params={'optimizer': 'Adam', 'activation_function': 'leaky_relu', 'learning_rate': 0.002264527038646364, 'num_neurons': 87, 'l1_reg': 23.252678702733533, 'l2_reg': 1.1818856820025377e-06}
Trial 10: Value=0.2731006664131956, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 1.1354420110654201e-05, 'num_neurons': 48, 'l1_reg': 1.0063522573258897e-08, 'l2_reg': 3.07655063446215e-08}
Trial 11: Value=0.7360586055271529, Params={'optimizer': 'Adadelta', 'activation_function': 'gelu', 'learning_rate': 0.00903734666584654, 'num_neurons': 6, 'l1_reg': 2.5490252544843837e-05, 'l2_reg': 2.320692910114933e-08}
Trial 12: Value=0.07923956376705037, Params={'optimizer': 'AdamW', 'activation_function': 'relu', 'learning_rate': 0.00010468331901821144, 'num_neurons': 39, 'l1_reg': 0.0009681256764184206, 'l2_reg': 0.0015800850822558228}
Trial 13: Value=1.089124967831449, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 7.89807655913668e-05, 'num_neurons': 41, 'l1_reg': 0.009029129643685045, 'l2_reg': 0.02086860768702756}
Trial 14: Value=0.21828338991740182, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 1.810814807866764e-05, 'num_neurons': 37, 'l1_reg': 2.2172675486506805e-06, 'l2_reg': 0.0021199605053819725}
Trial 15: Value=1.0026352351368564, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 5.267839285038559e-05, 'num_neurons': 69, 'l1_reg': 30.017864448577082, 'l2_reg': 1.408692673120082e-06}
Trial 16: Value=1.7139463411837266, Params={'optimizer': 'Adadelta', 'activation_function': 'leaky_relu', 'learning_rate': 0.0001644669911963802, 'num_neurons': 27, 'l1_reg': 0.08069322162894779, 'l2_reg': 12.477008508480116}
Trial 17: Value=1.177427596396641, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 2.6707318180708594e-05, 'num_neurons': 55, 'l1_reg': 0.0004909250953368855, 'l2_reg': 1.6229620902368803e-05}
Trial 18: Value=0.11323096074478407, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0001385252665823794, 'num_neurons': 178, 'l1_reg': 2.285139350246132e-06, 'l2_reg': 0.0032811778224354615}
Trial 19: Value=0.11859703147280881, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00011710220201864022, 'num_neurons': 194, 'l1_reg': 3.594397969666746e-06, 'l2_reg': 0.004921191554010073}
Trial 20: Value=0.2050008036831185, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0003335614900575973, 'num_neurons': 152, 'l1_reg': 0.0006076869624443579, 'l2_reg': 1.2583574006474885}
Trial 21: Value=0.12974005502073463, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00010207177777344872, 'num_neurons': 117, 'l1_reg': 4.113663036944601e-06, 'l2_reg': 0.003804392177727464}
Trial 22: Value=0.12710114458920035, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00012195124836293261, 'num_neurons': 188, 'l1_reg': 3.4233435417875216e-07, 'l2_reg': 0.014527215025124706}
Trial 23: Value=0.14066208204166322, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00032792079339346225, 'num_neurons': 128, 'l1_reg': 9.72795203325817e-06, 'l2_reg': 0.000761864929021615}
